``$TIME-SLICE$``,description,tg1,tg2,lorder,weight
summerwd0,summer weekdays from 22:00 to 04:00,summer,weekday,1,0.044642856
summerwd6,summer weekdays from 04:00 to 10:00,summer,weekday,2,0.044642856
summerwd12,summer weekdays from 10:00 to 16:00,summer,weekday,3,0.044642856
summerwd18,summer weekdays from 16:00 to 22:00,summer,weekday,4,0.044642856
fallwd0,fall weekdays from 22:00 to 04:00,fall,weekday,1,0.044642856
fallwd6,fall weekdays from 04:00 to 10:00,fall,weekday,2,0.044642856
fallwd12,fall weekdays from 10:00 to 16:00,fall,weekday,3,0.044642856
fallwd18,fall weekdays from 16:00 to 22:00,fall,weekday,4,0.044642856
winterwd0,winter weekdays from 22:00 to 04:00,winter,weekday,1,0.044642856
winterwd6,winter weekdays from 04:00 to 10:00,winter,weekday,2,0.044642856
winterwd12,winter weekdays from 10:00 to 16:00,winter,weekday,3,0.044642856
winterwd18,winter weekdays from 16:00 to 22:00,winter,weekday,4,0.044642856
springwd0,spring weekdays from 22:00 to 04:00,spring,weekday,1,0.044642856
springwd6,spring weekdays from 04:00 to 10:00,spring,weekday,2,0.044642856
springwd12,spring weekdays from 10:00 to 16:00,spring,weekday,3,0.044642856
springwd18,spring weekdays from 16:00 to 22:00,spring,weekday,4,0.044642856
summerwe0,summer weekends from 22:00 to 04:00,summer,weekend,1,0.01785714
summerwe6,summer weekends from 04:00 to 10:00,summer,weekend,2,0.01785714
summerwe12,summer weekends from 10:00 to 16:00,summer,weekend,3,0.01785714
summerwe18,summer weekends from 16:00 to 22:00,summer,weekend,4,0.01785714
fallwe0,fall weekends from 22:00 to 04:00,fall,weekend,1,0.01785714
fallwe6,fall weekends from 04:00 to 10:00,fall,weekend,2,0.01785714
fallwe12,fall weekends from 10:00 to 16:00,fall,weekend,3,0.01785714
fallwe18,fall weekends from 16:00 to 22:00,fall,weekend,4,0.01785714
winterwe0,winter weekends from 22:00 to 04:00,winter,weekend,1,0.01785714
winterwe6,winter weekends from 04:00 to 10:00,winter,weekend,2,0.01785714
winterwe12,winter weekends from 10:00 to 16:00,winter,weekend,3,0.01785714
winterwe18,winter weekends from 16:00 to 22:00,winter,weekend,4,0.01785714
springwe0,spring weekends from 22:00 to 04:00,spring,weekend,1,0.01785714
springwe6,spring weekends from 04:00 to 10:00,spring,weekend,2,0.01785714
springwe12,spring weekends from 10:00 to 16:00,spring,weekend,3,0.01785714
springwe18,spring weekends from 16:00 to 22:00,spring,weekend,4,0.01785714
